id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2495047,"The Tremont | The Upton, South End",5430185,Laura And Olivia,,Area 2/MIT,42.34309,-71.07316,Entire home/apt,260,2,47,2022-05-30,0.50,7,28,15,Exempt: This listing is a hotel or motel
1992020,Private room & bath,6748461,Alice,,Cambridgeport,42.35015,-71.12338,Private room,75,3,237,2022-05-11,2.33,1,49,28,
573071443078847367,New Allston development 1BR w. W/D by Blueground,107434423,Blueground,,Cambridgeport,42.3529714,-71.1296495,Entire home/apt,196,32,0,,,324,190,0,
35467463,Beacon Hill House | MGH/MIT/Freedom Trail,258974203,Sophia,,East Cambridge,42.35987,-71.06598,Entire home/apt,278,29,10,2022-03-03,0.27,2,203,2,Exempt: This listing is a unit used for furnished institutional or business stays
39352117,Quaint North Station 1BR w/ Gym + W/D + Doorman...,107434423,Blueground,,East Cambridge,42.364773,-71.063143,Entire home/apt,242,32,1,2021-12-18,0.16,324,331,1,
44522245,Cozy Apartment in Historic Beacon Hill Area,79365305,Myriem,,East Cambridge,42.35885,-71.06812,Entire home/apt,229,1,145,2022-06-16,6.51,1,73,80,STR-433867
17806747,Brand New North End Luxurious One Bedroom Condo up,10250257,Caroline,,East Cambridge,42.36393,-71.05223,Entire home/apt,102,91,15,2022-02-28,0.24,2,82,1,
44340842,Venn | Harvard Square | Stylish Studio,277913848,Venn,,Mid-Cambridge,42.37674,-71.10503,Entire home/apt,222,5,20,2022-05-30,1.07,8,238,12,
23393395,Studio steps 2 Boston Commons & Close to Hospitals,95459395,Bluebird,,Area 2/MIT,42.352093,-71.060806,Entire home/apt,401,1,0,,,19,365,0,Approved by government
52422480,Copley King - Copley Square Hotel,423875908,Copley Square Hotel,,Area 2/MIT,42.34748,-71.07794,Private room,328,1,0,,,7,193,0,Exempt: This listing is a hotel or motel
559879160838472239,Bright 1 bed facing the State House,26988,Anne,,East Cambridge,42.358196,-71.062347,Entire home/apt,105,91,0,,,6,330,0,
46983650,"Parking Available - Fully Furnished 4br, 2ba Flat!",365116307,Brian + Heather,,East Cambridge,42.35713,-71.06073,Entire home/apt,900,1,100,2022-06-19,5.99,29,211,80,STR-461750
38018931,Sonder The Hancock | One-Bedroom Apartment,224829568,Sonder (Boston),,East Cambridge,42.36069,-71.06322,Entire home/apt,306,2,46,2022-06-07,1.39,22,350,16,STR-446104
