id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4662379,Historic House modernized,24124767,Matt,,Brighton,42.34765,-71.15509,Entire home/apt,350,3,136,2022-03-05,1.53,1,225,20,STR-416233
4699828,Charming Victorian Furnished Home,19466495,Barbara,,Hyde Park,42.2563,-71.12762,Entire home/apt,148,91,105,2019-06-28,1.25,1,179,0,Exempt: This listing is a unit used for furnished institutional or business stays
4710583,Cozy Attic Bedroom in Allston,17892292,Marlene,,Allston,42.35914,-71.13348,Private room,41,91,3,2018-06-19,0.04,5,0,0,
4737304,Cosy Celtic Retreat,24158689,Deborah,,Brighton,42.35111,-71.16529,Private room,65,91,25,2020-05-04,0.30,1,263,0,
4755586,One Sweet Place,24532370,Andrea,,Mattapan,42.27667,-71.08169,Private room,25,29,20,2021-04-30,0.41,1,209,1,STR-416068
4757808,Romantic Beacon Hill Studio,3085882,Nino,,Beacon Hill,42.35815,-71.07102,Entire home/apt,110,91,5,2015-10-25,0.06,1,0,0,
4863108,Ensuite Private Room in Boston,8157833,John,,South Boston,42.33717,-71.05,Private room,109,4,242,2022-03-19,2.77,1,236,29,STR-413500
4902165,10 min train/bus to Boston  and tourist venues,25233554,Angela (Hada),,Charlestown,42.38315,-71.0862,Private room,79,2,142,2022-03-05,1.71,1,231,14,
4909590,"ALLSTON LOADED STUDIO: Steps to BU, BC & hospitals",25279966,Vj,,Allston,42.34838,-71.13163,Entire home/apt,83,240,341,2022-03-02,3.88,2,233,4,STR-415702
4995033,Modern Beacon Hill 2 Bedroom,11206328,Natasha,,West End,42.36122,-71.06629,Entire home/apt,137,2,117,2022-02-20,1.40,1,0,18,STR-411167
5019306,Sunny Duplex Condo + Private Parking,15862012,Vicki,,South Boston,42.33257,-71.02959,Entire home/apt,325,3,150,2022-03-16,1.75,1,285,28,STR-397970
5047340,Beautiful & Spacious 4 BDR / 3 BA w/ FREE Parking,10250028,Michelle,,Allston,42.35779,-71.13347,Entire home/apt,600,4,231,2022-01-23,3.54,2,91,11,STR-411261
5048406,3rd floor room in Victorian House,26062958,Yvonne,,Dorchester,42.31124,-71.06551,Private room,45,2,34,2021-11-11,0.39,2,320,3,STR-415034
5049582,Quiet room - Great location!,197327,Melissa,,Jamaica Plain,42.31327,-71.10811,Private room,60,30,25,2021-08-31,0.30,2,281,2,STR-416301
5064995,Beacon Hill Brownstone,13435932,Tom,,Beacon Hill,42.35921,-71.06759,Entire home/apt,147,91,24,2021-06-01,0.28,1,78,1,
5088560,Stunning SouthEnd/BackBay Penthouse,21609039,Susan,,Roxbury,42.34041,-71.08384,Entire home/apt,443,29,100,2020-12-27,1.24,3,278,0,Exempt: This listing is a unit used for furnished institutional or business stays
5166870,2 Bdrm Apt w/ tower in JP Victorian,1487352,Matt And Eva,,Jamaica Plain,42.30542,-71.10409,Entire home/apt,165,2,284,2022-02-27,3.28,1,194,62,STR-401736
5203538,Beautiful Townhouse Boston's South End,26917979,Jim,,South End,42.340238162052565,-71.07483069119883,Entire home/apt,900,5,4,2015-08-09,0.05,1,122,0,STR-470244
5317935,Family friendly Boston home,95959,Bandita,,Roxbury,42.32338,-71.09334,Entire home/apt,400,29,9,2019-04-16,0.11,1,81,0,STR-398243
5320198,3 mo. min. Harvard Sq Room- Pvt. Ent/bth,7704595,Holly,,Allston,42.37406,-71.12648,Private room,35,90,1,2021-05-17,0.10,1,22,1,
5358934,"Renovated, Quiet, Free Parking",18517776,Huggy,,Roxbury,42.31681,-71.08001,Private room,42,150,6,2019-11-01,0.09,31,365,0,
5364137,**Studio by Airport and T Station**,23777641,Gavin,,East Boston,42.38704,-71.00581,Entire home/apt,75,60,85,2021-10-30,1.00,2,76,3,
5364231,Cool room with private bathroom.,13226301,Mohamed,,Roslindale,42.27863,-71.13637,Private room,50,28,0,,,4,170,0,STR-398232
5371051,Beautiful 3 bedroom Dorchester MA,27842033,Bernard,,Dorchester,42.31163,-71.06351,Entire home/apt,85,29,261,2021-06-14,3.39,2,130,1,
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.28629,-71.13839,Entire home/apt,155,14,26,2021-04-30,0.33,2,342,1,STR-445527
5478135,City living near the beach!,13595892,Elizabeth,,East Boston,42.38455,-71.00217,Entire home/apt,195,91,27,2016-11-13,0.37,1,0,0,
5495267,Parking Renovated Close to Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,150,2,2016-08-30,0.03,31,365,0,
5526487,*Fort Hill Inn: Penthouse Duplex* Close to Center,28662210,Terry,,Mission Hill,42.33211,-71.09842,Entire home/apt,289,3,119,2022-01-01,1.44,5,73,7,STR446658
5526514,"Fresh! City Loft Apartment,  Minutes to Center!",28662210,Terry,,Roxbury,42.3285,-71.09608,Entire home/apt,179,3,123,2021-09-22,1.44,5,100,1,STR-446656
5581575,Private Entrance * King Beds! * Kid Friendly,28766987,Kathy,,Back Bay,42.34628,-71.08064,Entire home/apt,350,29,204,2022-01-09,2.94,1,65,7,STR-400453
5661246,Private Studio Apartment in a Central Location,12211716,Mark,,Allston,42.3471,-71.13005,Entire home/apt,125,4,159,2021-08-31,1.89,1,326,1,
5666988,Sunny 3BD House near Harvard Square,19742431,Sarah,,Allston,42.37456,-71.1334,Entire home/apt,437,30,31,2021-10-29,0.37,1,285,1,
5690424,"Beacon Hill House, Huge Roof Deck & Encore Casino",28090138,Gloria,,Beacon Hill,42.35668,-71.07185,Entire home/apt,310,91,124,2020-03-01,1.47,1,53,0,
5709298,Central Boston Beacon Hill 2brm,2006852,Jay,,Beacon Hill,42.35984,-71.06914,Entire home/apt,228,28,360,2022-03-14,4.25,8,283,33,Exempt: This listing is a unit that has contracts with hospitals
5718801,"Heart of South End, Convenient, Comfy Studio #42",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,129,1,139,2021-12-06,1.70,54,339,13,STR-441252
5718921,"Charming South End Brownstone, 2bedroom with a patio",22348222,Maverick,,South End,42.34455,-71.07628,Entire home/apt,210,29,141,2021-03-07,1.71,54,177,0,STR-415648
5738018,Sunny Two-Bedroom in Boston,7302835,Samuel,,Jamaica Plain,42.32448,-71.10664,Entire home/apt,95,91,0,,,1,0,0,
5768819,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,125,1,126,2021-12-29,1.59,54,337,9,STR-415605
5769127,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,127,1,235,2022-02-19,2.85,54,305,37,STR-415604
5775139,Large room located in Allston,29963974,Nesli,,Allston,42.35211,-71.13178,Private room,70,91,0,,,1,0,0,
5781926,City Sanctuary with ocean view and terrace garden,29573894,Amy,,South Boston,42.33286,-71.04506,Entire home/apt,160,5,39,2021-12-31,0.70,1,230,3,STR-398153
5782221,"""La Gemma"" - a gem in the North End",18601802,Gina,,North End,42.36726,-71.05424,Entire home/apt,300,3,235,2021-11-30,2.89,1,74,22,STR-388064
5806428,Close to Airport and Subway,15646805,Meghan,,East Boston,42.37939,-71.02961,Entire home/apt,125,91,31,2019-05-23,0.37,1,90,0,
5813177,Sunny 1BR for Summer,30162455,Patlapa,,Fenway,42.34306,-71.0872,Entire home/apt,62,91,0,,,1,0,0,
5856633,Condo overlooking Boston Harbour,30408736,Kate,,South Boston,42.33284,-71.04685,Entire home/apt,350,91,1,2016-05-13,0.01,1,0,0,
5870922,The Nantucket Room near Harvard Square,26956083,Todd,,Allston,42.3605,-71.12633,Private room,50,3,261,2022-03-04,3.10,4,127,44,STR-383892
5884429,"Two Rooms, Private Bath, AC -sleeps 2",15396970,Linda,,Roslindale,42.28516,-71.13772,Private room,115,29,105,2021-11-03,1.26,2,43,30,STR-396424
5903001,Boston Back Bay/Copley Square,30658962,Marlo,,Back Bay,42.35147,-71.07835,Entire home/apt,250,3,54,2021-12-30,0.64,1,328,19,STR-404614
5919529,Great location! 3 BD single fam. Kid-friendly.,24196977,Jenny,,Back Bay,42.35009,-71.07023,Entire home/apt,568,91,15,2016-07-15,0.18,2,71,0,
5927267,"Large room, wood floor, 2 windows",26098645,Manuela,,South Boston,42.33034,-71.05802,Private room,65,5,157,2021-12-26,1.87,3,237,10,STR-445765
5932402,South End Condo,2221632,Tad,,South End,42.34459,-71.06999,Private room,100,91,0,,,1,0,0,
5940866,"Sunny room, en-suite bathroom, minutes to Boston",12720679,Valerie,,East Boston,42.37615,-71.03331,Private room,75,2,377,2022-03-13,4.50,1,17,22,STR-427440
5967421,The Meditation Room near Harvard Square,26956083,Todd,,Allston,42.3605,-71.12633,Private room,45,91,172,2021-12-22,2.05,4,278,1,
6080461,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,28662210,Terry,,Roxbury,42.32966,-71.09597,Entire home/apt,169,29,98,2021-10-16,1.17,5,103,4,STR446654
6089865,"Little Italy, Historic, Freedom Trail, TD Garden",3637081,Sarah,,North End,42.36545,-71.05623,Entire home/apt,185,1,506,2022-03-06,6.03,9,108,94,Exempt: This listing is a unit used for furnished institutional or business stays
6119918,"RENOVATED, Pvt entrance, CDC cleaning, Whole Foods",546854,Sanjay,,Allston,42.34689,-71.13679,Entire home/apt,100,32,111,2021-11-19,1.33,3,167,2,
6179374,Harvard Boston University MIT,30489899,Home On Blaine,,Allston,42.35483,-71.13694,Private room,45,91,6,2019-12-20,0.08,4,249,0,STR-404592
6227976,Safe Quiet Neighborhood by Harvard,32304279,Charles And Grace,,Allston,42.35848,-71.12972,Private room,158,30,4,2016-10-19,0.05,1,90,0,STR-416314
6238463,Pvt tree top suite in great location,31691830,Penny,,Jamaica Plain,42.31583,-71.11448,Private room,118,2,210,2022-02-20,2.65,1,134,53,STR-411564
6248970,Spacious room convenient to subway,32449720,Shawn,,Jamaica Plain,42.31984,-71.10569,Private room,50,3,270,2021-11-24,3.25,1,73,24,STR-418340
6317722,Brand New 2 BR | 1 BA in So. BOS #3,9410008,Jason,,South Boston,42.33536,-71.04523,Entire home/apt,231,10,161,2022-01-05,1.95,21,90,1,Exempt: This listing is a unit that has contracts with hospitals
6401859,`Hidden Gem in Boston,17890131,Grace & Mark,,Hyde Park,42.24638,-71.11757,Entire home/apt,99,1,117,2019-11-25,1.59,1,0,0,STR-403711
6426364,Great city views top floor one bed #7,9653086,Glenn,,South End,42.34144,-71.0763,Entire home/apt,90,29,80,2021-11-06,0.97,6,257,3,
6449061,Peter • Best of Boston,33659611,Peter,,Charlestown,42.38512,-71.08271,Private room,111,1,508,2022-03-06,7.31,1,293,65,
6450220,Longwood Medical 2br Brookline Condo with Parking!,2006852,Jay,,Longwood Medical Area,42.33693,-71.11193,Entire home/apt,188,1,119,2021-12-17,1.65,8,293,27,
6465075,Spacious 5BR Condo Near Metro,635157,Catlin,,Jamaica Plain,42.29828,-71.11048,Entire home/apt,449,3,139,2022-02-26,1.68,1,275,26,STR-445893
6489209,"Large room, excellent access",26098645,Manuela,,South Boston,42.33034,-71.05802,Private room,61,5,72,2021-10-28,0.87,3,251,6,STR-445765
6554785,Apartment close to everything!,28123912,Ned,,Downtown,42.35913,-71.06138,Entire home/apt,76,91,217,2022-03-03,2.64,2,96,1,
6576530,Luxury Sunny Hill Townhouse Unit #2,14785487,Aihua,,Roxbury,42.31043,-71.08642,Entire home/apt,450,31,16,2021-03-24,0.20,5,365,1,
6603827,Cozy private room near bus stop,34552909,Barrie,,Roslindale,42.28411,-71.11693,Private room,50,29,13,2021-09-30,0.16,3,306,3,
6609546,Beautiful Waterfront Location.,34584706,George,,South Boston Waterfront,42.34791,-71.04196,Private room,149,29,225,2020-03-12,2.72,2,365,0,STR-416477
6646604,"Sunny renovated 1 bed, near BC,BU",31340713,Kama,,Brighton,42.34118,-71.14678,Entire home/apt,110,180,33,2022-01-22,0.41,31,356,2,Exempt: This listing is a unit used for furnished institutional or business stays
6677469,south end/back bay brownstone,34949685,Oine,,South End,42.34449,-71.07674,Entire home/apt,277,3,56,2021-09-27,0.69,1,105,2,STR-416571
6690605,Renovated Boston Apartment,35018472,Jennifer,,Charlestown,42.37639,-71.06389,Entire home/apt,200,91,24,2019-08-13,0.30,1,0,0,
6746543,Cool Top Floor 1 Bedroom Penthouse,32376332,Jordan,,Chinatown,42.34991,-71.06164,Entire home/apt,207,91,8,2021-12-20,0.10,1,217,1,
6758443,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,121,1,175,2022-02-27,2.13,54,325,34,STR-441260
6758462,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",22348222,Maverick,,South End,42.34441,-71.07633,Entire home/apt,126,1,90,2022-02-17,1.49,54,349,14,LB-101763
6758482,"Stylish Downtown Studio in the SouthEnd, C.Ave# 1",22348222,Maverick,,South End,42.34447,-71.07644,Entire home/apt,121,1,132,2022-02-27,2.17,54,339,20,STR-415602
6759004,Stylish & Comfortable Newbury St Studio; #10,22348222,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,131,1,201,2022-03-06,2.50,54,298,41,STR-445402
